ROI	FBbt_id	FBbt_name	notes
PB(R3)	FBbt:00003671	protocerebral bridge slice 3	
PB(R4)	FBbt:00003672	protocerebral bridge slice 4	
PB(R5)	FBbt:00003673	protocerebral bridge slice 5	
PB(R6)	FBbt:00003674	protocerebral bridge slice 6	
PB(R7)	FBbt:00003675	protocerebral bridge slice 7	
PB(R8)	FBbt:00003676	protocerebral bridge slice 8	
PB(R9)	FBbt:00003677	protocerebral bridge slice 9	
PED(R)	FBbt:00007453	pedunculus of adult mushroom body	
PENP	FBbt:00045047	periesophageal neuropils	
PLP(R)	FBbt:00040044	posterior lateral protocerebrum	
POC	FBbt:00007427	posterior optic commissure	
PRW	FBbt:00040051	prow	
PVLP(R)	FBbt:00040042	posterior ventrolateral protocerebrum	
ROB(R)	FBbt:00048509	adult round body	
RUB(L)	FBbt:00040038	rubus	
RUB(R)	FBbt:00040038	rubus	
SAD	FBbt:00045048	saddle	
SAD(-AMMC)	FBbt:00045048	saddle	
SCL(L)	FBbt:00040048	superior clamp	
SCL(R)	FBbt:00040048	superior clamp	
SIP(L)	FBbt:00045032	superior intermediate protocerebrum	
SIP(R)	FBbt:00045032	superior intermediate protocerebrum	
SLP(R)	FBbt:00007054	superior lateral protocerebrum	
SMP(L)	FBbt:00007055	superior medial protocerebrum	
SMP(R)	FBbt:00007055	superior medial protocerebrum	
SNP(L)	FBbt:00045030	superior neuropils	
SNP(R)	FBbt:00045030	superior neuropils	
SPS(L)	FBbt:00045040	superior posterior slope	
SPS(R)	FBbt:00045040	superior posterior slope	
vACA(R)	FBbt:00110991	mushroom body ventral accessory calyx	
VES(L)	FBbt:00040041	vest	
VES(R)	FBbt:00040041	vest	
VLNP(R)	FBbt:00045021	ventrolateral neuropils	
VMNP	FBbt:00040002	ventromedial neuropils	
WED(R)	FBbt:00045027	wedge	
