defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_types	other_types_label
FBbt:00050260	adult VLPl4 lineage neuron	FBbt:00005106	neuron	FBbt:00100622	neuroblast BLD3	FBbt:00003004	adult			FBbt:00050259	adult VLPl4 lineage clone		
FBbt:00050263	adult BLD1 lineage neuron	FBbt:00005106	neuron	FBbt:00100620	neuroblast BLD1	FBbt:00003004	adult			FBbt:00050262	adult BLD1 lineage clone		
FBbt:00050266	adult SLPav1 lineage neuron	FBbt:00005106	neuron	FBbt:00100618	neuroblast BLAl	FBbt:00003004	adult			FBbt:00050265	adult SLPav1 lineage clone		
FBbt:00050269	adult DPLal3 lineage neuron	FBbt:00005106	neuron	FBbt:00100593	neuroblast DPLal3	FBbt:00003004	adult			FBbt:00050268	adult DPLal3 lineage clone		
FBbt:00050272	adult MBp1 lineage neuron	FBbt:00005106	neuron	FBbt:00050270	neuroblast MBp1	FBbt:00003004	adult			FBbt:00050271	adult MBp1 lineage clone		
FBbt:00050275	adult DALcm1 lineage neuron	FBbt:00005106	neuron	FBbt:00100548	neuroblast DALcm1	FBbt:00003004	adult			FBbt:00050274	adult DALcm1 lineage clone		
FBbt:00050278	adult BLAd2 lineage neuron	FBbt:00005106	neuron	FBbt:00100615	neuroblast BLAd2	FBbt:00003004	adult			FBbt:00050277	adult BLAd2 lineage clone		
FBbt:00050281	adult LHa3 lineage neuron	FBbt:00005106	neuron	FBbt:00100631	neuroblast BLVa2	FBbt:00003004	adult			FBbt:00050280	adult LHa3 lineage clone		
FBbt:00051309	NB1-2 Notch OFF hemilineage primary neuron	FBbt:00047105	Notch OFF hemilineage primary neuron	FBbt:00001384	neuroblast NB1-2								
FBbt:00051310	NB7-1 Notch OFF hemilineage primary neuron	FBbt:00047105	Notch OFF hemilineage primary neuron	FBbt:00001380	neuroblast NB7-1								
FBbt:00051311	NB5-2 Notch OFF hemilineage primary neuron	FBbt:00047105	Notch OFF hemilineage primary neuron	FBbt:00001376	neuroblast NB5-2								
FBbt:00051312	NB4-1 Notch OFF hemilineage primary neuron	FBbt:00047105	Notch OFF hemilineage primary neuron	FBbt:00001397	neuroblast NB4-1								
FBbt:00051313	NB7-1 Notch ON hemilineage primary neuron	FBbt:00047106	Notch ON hemilineage primary neuron	FBbt:00001380	neuroblast NB7-1								
FBbt:00051314	NB4-1 Notch ON hemilineage primary neuron	FBbt:00047106	Notch ON hemilineage primary neuron	FBbt:00001397	neuroblast NB4-1								
FBbt:00051315	NB1-2 Notch ON hemilineage primary neuron	FBbt:00047106	Notch ON hemilineage primary neuron	FBbt:00001384	neuroblast NB1-2								
FBbt:00051316	NB5-2 Notch ON hemilineage primary neuron	FBbt:00047106	Notch ON hemilineage primary neuron	FBbt:00001376	neuroblast NB5-2								
FBbt:00051317	NB2-1 Notch ON hemilineage primary neuron	FBbt:00047106	Notch ON hemilineage primary neuron	FBbt:00001410	neuroblast NB2-1								
FBbt:00051318	NB2-1 Notch OFF hemilineage primary neuron	FBbt:00047105	Notch OFF hemilineage primary neuron	FBbt:00001410	neuroblast NB2-1								
FBbt:00051455	hemilineage 1A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001384	neuroblast NB1-2			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051456	hemilineage 8A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001422	neuroblast NB3-3			GO:0061535	glutamate secretion, neurotransmission				
FBbt:00051457	hemilineage 9A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001375	neuroblast NB3-5			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00051458	hemilineage 13A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001389	neuroblast NB4-2								
FBbt:00051459	hemilineage 21A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001423	neuroblast NB4-3								
FBbt:00051460	hemilineage 6A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001376	neuroblast NB5-2								
