defined_class	defined_class_label	neuroblast	neuroblast_label	cluster	cluster_label	sex	sex_label	neuron	neuron_label	fruitless	soma_location	soma_location_label
FBbt:00110499	adult fruitless pMP-a (female) neuron	FBbt:00050018	neuroblast DM1	FBbt:00110498	adult fruitless pMP-a (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110501	adult fruitless pMP-b (female) neuron	FBbt:00050121	neuroblast DM2	FBbt:00110500	adult fruitless pMP-b (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110503	adult fruitless pMP-c (female) neuron			FBbt:00110502	adult fruitless pMP-c (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110505	adult fruitless pMP-d neuron			FBbt:00110504	adult fruitless pMP-d lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110507	adult fruitless pMP-e (female) neuron	FBbt:00050252	neuroblast DM4	FBbt:00110506	adult fruitless pMP-e (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100213	cell body rind of adult inferior neuropils
FBbt:00110509	adult fruitless pMP-f (female) neuron	FBbt:00050142	neuroblast DM6	FBbt:00110508	adult fruitless pMP-f (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110511	adult fruitless pMP-g neuron			FBbt:00110510	adult fruitless pMP-g lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110513	adult fruitless pSG-a neuron			FBbt:00110512	adult fruitless pSG-a lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051024	cell body rind of adult lateral gnathal ganglion
FBbt:00110515	adult fruitless pSG-b neuron			FBbt:00110514	adult fruitless pSG-b lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00110517	adult fruitless pSG-c neuron			FBbt:00110516	adult fruitless pSG-c lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051024	cell body rind of adult lateral gnathal ganglion
