defined_class	class_label	muscle
FBbt:00003282	somatic muscle cell of dorsal head	FBbt:00058806
FBbt:00003290	lunula muscle cell	FBbt:00058814
FBbt:00003281	muscle cell of frontal pulsatile organ muscle 16	FBbt:00058805
FBbt:00003278	second antennal segment muscle cell	FBbt:00058802
FBbt:00003280	muscle cell of second antennal segment muscle 15	FBbt:00058804
FBbt:00003279	muscle cell of second antennal segment muscle 14	FBbt:00058803
FBbt:00003261	proboscis muscle cell	FBbt:00058786
FBbt:00051199	rostrum muscle cell	FBbt:00059093
FBbt:00003273	muscle cell of proboscis muscle 10	FBbt:00058798
FBbt:00003276	muscle cell of proboscis muscle 12 dorsal	FBbt:00058800
FBbt:00003272	muscle cell of proboscis muscle 9	FBbt:00058797
FBbt:00003264	muscle cell of proboscis muscle 3	FBbt:00058789
FBbt:00051197	muscle cell of proboscis muscle 3 lateral fiber	FBbt:00059092
FBbt:00051196	muscle cell of proboscis muscle 3 medial fiber	FBbt:00059091
FBbt:00051177	muscle cell of proboscis muscle 2 ventral	FBbt:00059087
FBbt:00003263	muscle cell of proboscis muscle 2 dorsal	FBbt:00058788
FBbt:00051179	muscle cell of proboscis muscle 11 ventral	FBbt:00059089
FBbt:00003275	muscle cell of proboscis muscle 11 dorsal	FBbt:00058799
FBbt:00003262	muscle cell of proboscis muscle 1	FBbt:00058787
FBbt:00003265	muscle cell of proboscis muscle 4	FBbt:00058790
FBbt:00051178	muscle cell of proboscis muscle 12 ventral	FBbt:00059088
FBbt:00003277	muscle cell of proboscis muscle 13	FBbt:00058801
FBbt:00051195	adult pharynx muscle cell	FBbt:00059090
FBbt:00003271	cibarial muscle cell	FBbt:00058796
FBbt:00003270	muscle cell of proboscis muscle 8	FBbt:00058795
FBbt:00003266	muscle cell of proboscis muscle 5	FBbt:00058791
FBbt:00003267	haustellum muscle cell	FBbt:00058792
FBbt:00003269	muscle cell of proboscis muscle 7	FBbt:00058794
FBbt:00003268	muscle cell of proboscis muscle 6	FBbt:00058793
FBbt:00000433	posterior spiracle retractor muscle cell	FBbt:00058296
FBbt:00000464	embryonic/larval somatic muscle cell	FBbt:00058297
FBbt:00000465	embryonic/larval hypodermal muscle cell	FBbt:00058298
FBbt:00000486	hypodermal muscle cell of head	FBbt:00058317
FBbt:00005257	cardiac outflow muscle cell	FBbt:00059032
FBbt:00000494	pericommissural muscle cell	FBbt:00058325
FBbt:00000487	pharyngeal muscle cell	FBbt:00058318
FBbt:00049189	dorsal protractor muscle cell	FBbt:00059084
FBbt:00049191	muscle cell of dorsal protractor muscle B	FBbt:00059086
FBbt:00049190	muscle cell of dorsal protractor muscle A	FBbt:00059085
FBbt:00049188	labial retractor muscle cell	FBbt:00059083
FBbt:00049182	mouth hook elevator muscle cell	FBbt:00059082
FBbt:00049181	mouth hook depressor muscle cell	FBbt:00059081
FBbt:00000496	mouthpart muscle cell	FBbt:00058327
FBbt:00000500	muscle cell of ventral mouthpart muscle 1	FBbt:00058331
FBbt:00000497	dorsal mouthpart muscle cell	FBbt:00058328
FBbt:00000499	muscle cell of dorsal mouthpart muscle 2	FBbt:00058330
FBbt:00000498	muscle cell of dorsal mouthpart muscle 1	FBbt:00058329
FBbt:00000489	dorsal pharyngeal muscle cell	FBbt:00058320
FBbt:00000490	ventral pharyngeal muscle cell	FBbt:00058321
FBbt:00000493	muscle cell of ventral pharyngeal muscle 3	FBbt:00058324
FBbt:00000492	muscle cell of ventral pharyngeal muscle 2	FBbt:00058323
FBbt:00000491	muscle cell of ventral pharyngeal muscle 1	FBbt:00058322
FBbt:00000488	prothoracic pharyngeal muscle cell	FBbt:00058319
FBbt:00000495	hypodermal muscle cell of prothorax	FBbt:00058326
FBbt:00000514	prothoracic intersegmental muscle cell	FBbt:00058345
FBbt:00000515	prothoracic ventral intersegmental muscle cell	FBbt:00058346
FBbt:00007589	muscle cell of ventral intersegmental muscle 1	FBbt:00059035
FBbt:00000519	muscle cell of prothoracic ventral intersegmental muscle 5	FBbt:00058350
FBbt:00000518	muscle cell of prothoracic ventral intersegmental muscle 4	FBbt:00058349
FBbt:00000517	muscle cell of prothoracic ventral intersegmental muscle 3	FBbt:00058348
FBbt:00000516	muscle cell of prothoracic ventral intersegmental muscle 2	FBbt:00058347
FBbt:00000510	prothoracic acute muscle cell	FBbt:00058341
FBbt:00000511	prothoracic lateral acute muscle cell	FBbt:00058342
FBbt:00000513	muscle cell of prothoracic lateral acute muscle 2	FBbt:00058344
FBbt:00000512	muscle cell of prothoracic lateral acute muscle 1	FBbt:00058343
FBbt:00000507	prothoracic transverse muscle cell	FBbt:00058338
FBbt:00000508	prothoracic ventral transverse muscle cell	FBbt:00058339
FBbt:00000509	muscle cell of prothoracic ventral transverse muscle 1	FBbt:00058340
FBbt:00000501	prothoracic oblique muscle cell	FBbt:00058332
FBbt:00000502	prothoracic dorsal oblique muscle cell	FBbt:00058333
FBbt:00000506	muscle cell of prothoracic dorsal oblique muscle 4	FBbt:00058337
FBbt:00000505	muscle cell of prothoracic dorsal oblique muscle 3	FBbt:00058336
FBbt:00000504	muscle cell of prothoracic dorsal oblique muscle 2	FBbt:00058335
