defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label	def_xrefs
FBbt:00047843	adult ipc-1 neuron	FBbt:00047842	ipc-1 neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00047844	larval ipc-1 neuron	FBbt:00047842	ipc-1 neuron	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00047940	larval antennal lobe commissure	FBbt:00047939	antennal lobe commissure	FBbt:00001727	larva	FBbt:00001957	larval deutocerebrum	
FBbt:00047942	larval great commissure	FBbt:00047941	great commissure	FBbt:00001727	larva	FBbt:00047889	larval central brain	
FBbt:00047943	larval frontal median commissure	FBbt:00049221	frontal median commissure	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00047947	larval gustatory projection neuron	FBbt:00047946	gustatory projection neuron	FBbt:00001727	larva	FBbt:00001919	larval central nervous system	
FBbt:00047948	adult gustatory projection neuron	FBbt:00047946	gustatory projection neuron	FBbt:00003004	adult	FBbt:00003623	adult central nervous system	
FBbt:00047949	larval thermosensory projection neuron	FBbt:00047228	thermosensory projection neuron	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00047950	adult thermosensory projection neuron	FBbt:00047228	thermosensory projection neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00048235	adult motor neuron	FBbt:00005123	motor neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00048285	larval multidendritic neuron	FBbt:00005209	multidendritic neuron	FBbt:00001727	larva	FBbt:00005893	larval peripheral nervous system	
FBbt:00048286	adult visual projection neuron	FBbt:00048287	visual projection neuron	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00048315	larval iag neuron	FBbt:00048317	iag neuron	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00048316	adult iag neuron	FBbt:00048317	iag neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00048319	larval ipn neuron	FBbt:00048318	ipn neuron	FBbt:00001727	larva	FBbt:00005893	larval peripheral nervous system	
FBbt:00048320	adult ipn neuron	FBbt:00048318	ipn neuron	FBbt:00003004	adult	FBbt:00005892	adult peripheral nervous system	
FBbt:00048356	adult neurosecretory cell of pars intercerebralis	FBbt:00047185	neurosecretory cell of pars intercerebralis	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00048357	larval neurosecretory cell of pars intercerebralis	FBbt:00047185	neurosecretory cell of pars intercerebralis	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00048999	adult Drosulfakinin neuron	FBbt:00048998	Drosulfakinin neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00049000	larval Drosulfakinin neuron	FBbt:00048998	Drosulfakinin neuron	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00049192	adult Eh neurosecretory neuron	FBbt:00048095	eclosion hormone neuron	FBbt:00003004	adult	FBbt:00003214|FBbt:00003559	adult endocrine system|adult nervous system	
FBbt:00049200	larval anterior superior transverse fascicle	FBbt:00049199	anterior superior transverse fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049202	larval posterior superior transverse fascicle	FBbt:00049201	posterior superior transverse fascicle	FBbt:00001727	larva	FBbt:00001925	larval protocerebrum	
FBbt:00049203	adult posterior superior transverse fascicle	FBbt:00049201	posterior superior transverse fascicle	FBbt:00003004	adult	FBbt:00007145	adult protocerebrum	
FBbt:00049206	adult lateral posterior superior transverse fascicle	FBbt:00049205	lateral posterior superior transverse fascicle	FBbt:00003004	adult	FBbt:00049203	adult posterior superior transverse fascicle	
FBbt:00049207	larval lateral posterior superior transverse fascicle	FBbt:00049205	lateral posterior superior transverse fascicle	FBbt:00001727	larva	FBbt:00049202	larval posterior superior transverse fascicle	
FBbt:00049208	adult medial posterior superior transverse fascicle	FBbt:00049204	medial posterior superior transverse fascicle	FBbt:00003004	adult	FBbt:00049203	adult posterior superior transverse fascicle	
FBbt:00049209	larval medial posterior superior transverse fascicle	FBbt:00049204	medial posterior superior transverse fascicle	FBbt:00001727	larva	FBbt:00049202	larval posterior superior transverse fascicle	
FBbt:00049211	adult intermediate superior transverse fascicle	FBbt:00049210	intermediate superior transverse fascicle	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00049212	larval intermediate superior transverse fascicle	FBbt:00049210	intermediate superior transverse fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049213	larval median bundle	FBbt:00049214	median bundle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049217	adult central descending protocerebral fascicle	FBbt:00049216	central descending protocerebral fascicle	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00049218	larval central descending protocerebral fascicle	FBbt:00049216	central descending protocerebral fascicle	FBbt:00001727	larva	FBbt:00001919	larval central nervous system	
FBbt:00049220	adult dorsal posterior protocerebral tract	FBbt:00049219	dorsal posterior protocerebral tract	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00049222	larval lateral accessory lobe commissure	FBbt:00049223	lateral accessory lobe commissure	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049224	larval lateral equatorial fascicle	FBbt:00049229	lateral equatorial fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049225	adult anterior lateral equatorial fascicle	FBbt:00049230	anterior lateral equatorial fascicle	FBbt:00003004	adult	FBbt:00100343	adult lateral equatorial fascicle	
FBbt:00049226	adult posterior lateral equatorial fascicle	FBbt:00049231	posterior lateral equatorial fascicle	FBbt:00003004	adult	FBbt:00100343	adult lateral equatorial fascicle	
FBbt:00049227	larval posterior lateral equatorial fascicle	FBbt:00049231	posterior lateral equatorial fascicle	FBbt:00001727	larva	FBbt:00049224	larval lateral equatorial fascicle	
FBbt:00049228	larval anterior lateral equatorial fascicle	FBbt:00049230	anterior lateral equatorial fascicle	FBbt:00001727	larva	FBbt:00049224	larval lateral equatorial fascicle	
FBbt:00049233	larval posterior lateral fascicle	FBbt:00049232	posterior lateral fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049236	adult longitudinal superior medial fascicle	FBbt:00049235	longitudinal superior medial fascicle	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00049237	larval longitudinal superior medial fascicle	FBbt:00049235	longitudinal superior medial fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049238	larval longitudinal superior lateral fascicle	FBbt:00049234	longitudinal superior lateral fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049239	adult longitudinal superior lateral fascicle	FBbt:00049234	longitudinal superior lateral fascicle	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00049242	adult posterior longitudinal superior medial fascicle	FBbt:00049241	posterior longitudinal superior medial fascicle	FBbt:00003004	adult	FBbt:00049236	adult longitudinal superior medial fascicle	
FBbt:00049243	larval posterior longitudinal superior medial fascicle	FBbt:00049241	posterior longitudinal superior medial fascicle	FBbt:00001727	larva	FBbt:00049237	larval longitudinal superior medial fascicle	
FBbt:00049244	adult anterior longitudinal superior medial fascicle	FBbt:00049240	anterior longitudinal superior medial fascicle	FBbt:00003004	adult	FBbt:00049236	adult longitudinal superior medial fascicle	
FBbt:00049245	larval anterior longitudinal superior medial fascicle	FBbt:00049240	anterior longitudinal superior medial fascicle	FBbt:00001727	larva	FBbt:00049237	larval longitudinal superior medial fascicle	
FBbt:00049251	adult longitudinal ventral intermediate fascicle	FBbt:00049250	longitudinal ventral intermediate fascicle	FBbt:00003004	adult	FBbt:00049253	adult longitudinal ventral fascicle	
FBbt:00049252	larval longitudinal ventral intermediate fascicle	FBbt:00049250	longitudinal ventral intermediate fascicle	FBbt:00001727	larva	FBbt:00049254	larval longitudinal ventral fascicle	
FBbt:00049253	adult longitudinal ventral fascicle	FBbt:00049246	longitudinal ventral fascicle	FBbt:00003004	adult	FBbt:00003624	adult brain	
FBbt:00049254	larval longitudinal ventral fascicle	FBbt:00049246	longitudinal ventral fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049255	adult longitudinal ventral lateral fascicle	FBbt:00049249	longitudinal ventral lateral fascicle	FBbt:00003004	adult	FBbt:00049253	adult longitudinal ventral fascicle	
FBbt:00049256	larval longitudinal ventral lateral fascicle	FBbt:00049249	longitudinal ventral lateral fascicle	FBbt:00001727	larva	FBbt:00049254	larval longitudinal ventral fascicle	
FBbt:00049257	adult longitudinal ventral medial fascicle	FBbt:00049248	longitudinal ventral medial fascicle	FBbt:00003004	adult	FBbt:00049253	adult longitudinal ventral fascicle	
FBbt:00049258	larval longitudinal ventral medial fascicle	FBbt:00049248	longitudinal ventral medial fascicle	FBbt:00001727	larva	FBbt:00049254	larval longitudinal ventral fascicle	
FBbt:00049259	adult longitudinal ventral posterior-lateral fascicle	FBbt:00049247	longitudinal ventral posterior-lateral fascicle	FBbt:00003004	adult	FBbt:00049253	adult longitudinal ventral fascicle	
FBbt:00049260	larval longitudinal ventral posterior-lateral fascicle	FBbt:00049247	longitudinal ventral posterior-lateral fascicle	FBbt:00001727	larva	FBbt:00049254	larval longitudinal ventral fascicle	
FBbt:00049262	larval medial equatorial fascicle	FBbt:00049261	medial equatorial fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00049265	larval oblique posterior fascicle	FBbt:00049264	oblique posterior fascicle	FBbt:00001727	larva	FBbt:00001920	larval brain	
