defined_class	defined_class_label	defining_modality	defining_modality_label	other_modality	other_modality_label	dendrite_location	dendrite_location_label	soma_location	soma_location_label	nerve	nerve_label
FBbt:00048034	labral sense organ chemosensory neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004146	adult labral sense organ				
FBbt:00048035	labral sense organ mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004146	adult labral sense organ				
FBbt:00048036	sweet taste neuron of adult labral sensillum 7	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00004154	chemosensory labral sensillum 7				
FBbt:00048050	leg taste bristle mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00007409	leg taste bristle				
FBbt:00048051	mechanosensory neuron of femoral chordotonal organ					FBbt:00007592	femoral chordotonal organ			FBbt:00049553	adult leg nerve
FBbt:00048052	mechanosensory neuron of prothoracic femoral chordotonal organ					FBbt:00004271	prothoracic femoral chordotonal organ				
FBbt:00048053	mechanosensory neuron of metathoracic femoral chordotonal organ					FBbt:00004438	metathoracic femoral chordotonal organ				
FBbt:00048054	mechanosensory neuron of mesothoracic femoral chordotonal organ					FBbt:00004380	mesothoracic femoral chordotonal organ				
FBbt:00048057	sensory neuron of campaniform sensillum					FBbt:00005183	campaniform sensillum				
FBbt:00048058	mechanosensory neuron of leg campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048055	campaniform sensillum of leg				
FBbt:00048059	mechanosensory neuron of trochanter campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048056	campaniform sensillum of trochanter				
FBbt:00048060	mechanosensory neuron of femoral campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100297	femoral campaniform sensillum				
FBbt:00048061	mechanosensory neuron of hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100293	hair plate				
FBbt:00048062	mechanosensory neuron of coxal hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100294	hair plate of coxa				
FBbt:00048063	mechanosensory neuron of prothoracic coxal hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100303	hair plate of prothoracic coxa				
FBbt:00048064	mechanosensory neuron of mesothoracic coxal hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100301	hair plate of mesothoracic coxa				
FBbt:00048065	mechanosensory neuron of metathoracic coxal hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100302	hair plate of metathoracic coxa				
FBbt:00048066	mechanosensory neuron of trochanter hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100295	hair plate of trochanter			FBbt:00007657	adult prothoracic leg nerve
FBbt:00048067	mechanosensory neuron of prothoracic trochanter hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100306	hair plate of prothoracic trochanter				
FBbt:00048068	mechanosensory neuron of mesothoracic trochanter hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100304	hair plate of mesothoracic trochanter				
FBbt:00048069	mechanosensory neuron of metathoracic trochanter hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100305	hair plate of metathoracic trochanter				
FBbt:00048070	mechanosensory neuron of metathoracic hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100299	metathoracic leg hair plate				
FBbt:00048071	mechanosensory neuron of mesothoracic hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100300	mesothoracic leg hair plate				
FBbt:00048072	mechanosensory neuron of prothoracic hair plate	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00100298	prothoracic leg hair plate				
FBbt:00048073	mechanosensory neuron of prothoracic femoral campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004275	prothoracic femoral campaniform sensillum			FBbt:00007657	adult prothoracic leg nerve
FBbt:00048074	mechanosensory neuron of mesothoracic femoral campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004384	mesothoracic femoral campaniform sensillum				
FBbt:00048075	mechanosensory neuron of metathoracic femoral campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004442	metathoracic femoral campaniform sensillum				
FBbt:00048076	mechanosensory neuron of prothoracic trochanter campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004260	prothoracic trochanter campaniform sensillum			FBbt:00007657	adult prothoracic leg nerve
FBbt:00048077	mechanosensory neuron of mesothoracic trochanter campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004369	mesothoracic trochanter campaniform sensillum				
FBbt:00048078	mechanosensory neuron of metathoracic trochanter campaniform sensillum	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004427	metathoracic trochanter campaniform sensillum				
FBbt:00048084	leg mechanosensory bristle mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048080	leg mechanosensory bristle				
FBbt:00048085	prothoracic leg bristle mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048081	prothoracic leg mechanosensory bristle				
FBbt:00048086	metathoracic leg bristle mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048082	metathoracic leg mechanosensory bristle				
FBbt:00048087	mesothoracic leg bristle mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00048083	mesothoracic leg mechanosensory bristle				
FBbt:00048152	bitter-sensing neuron of labellar taste bristle	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00004162	labellar taste bristle				
FBbt:00048153	broad bitter-sensing neuron of the labellum S-b	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048162	short labellar taste bristle S-b				
FBbt:00048154	broad bitter-sensing neuron of the labellum S-a	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048161	short labellar taste bristle S-a				
FBbt:00048158	narrow bitter-sensing neuron of the labellum I-a	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048164	intermediate labellar taste bristle I-a				
FBbt:00048159	narrow bitter-sensing neuron of the labellum I-b	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048163	intermediate labellar taste bristle I-b				
FBbt:00048209	bitter-sensing neuron of the leg	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00007409	leg taste bristle				
FBbt:00048210	sugar-sensing neuron of the leg	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00007409	leg taste bristle				
FBbt:00048211	bitter-sensing neuron of prothoracic leg tarsal taste bristle 4c	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048180	prothoracic leg tarsal taste bristle 4c				
FBbt:00048212	bitter-sensing neuron of prothoracic leg tarsal taste bristle 4s	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048182	prothoracic leg tarsal taste bristle 4s				
FBbt:00048213	bitter-sensing neuron of prothoracic leg tarsal taste bristle 5b	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048184	prothoracic leg tarsal taste bristle 5b				
FBbt:00048214	bitter-sensing neuron of prothoracic leg tarsal taste bristle 5s	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048186	prothoracic leg tarsal taste bristle 5s				
