root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941671431335,22.739962596698415,-14.05917299980249,720575941671431335,76212442924872148,"121242, 92500, 2541",right,neck_connective,ascending,05B,NA,NA,AN05B027,AN_GNG_71,AN05B027,feeding,CNS_02
720575941671438247,16.040663738055827,-27.01733053917016,720575941671438247,76142074315158384,"119062, 92500, 2862",left,neck_connective,descending,SMPpv2_dorsal,NA,NA,DNpe036,DNpe036,DNxn140,visceral control,CNS_06
720575941671479207,-22.368390064434404,15.848069775160889,720575941671479207,76282811736634736,"124351, 92500, 2757",right,neck_connective,ascending,07B,NA,NA,AN07B025,AN_IPS_GNG_6,AN07B025,flight steering 2,CNS_01
720575941671658407,-21.03519342441976,-3.129525315705198,720575941671658407,76071705504454574,"118666, 92500, 2814",right,neck_connective,descending,PSp2,NA,NA,DNp104,DNp104,DNxn134,flight power,CNS_07
720575941679872189,22.562293071551917,27.375644314345458,720575941679872189,76282811736293120,"123077, 92500, 2637",right,neck_connective,ascending,08B,NA,NA,AN08B018,AN_AVLP_53,AN08B018,proprioceptive,CNS_05
720575941680063677,24.038157481952314,16.94379388099584,720575941680063677,76071705503981709,"117674, 92385, 2656",left,neck_connective,ascending,10B,NA,NA,AN10B039,AN_GNG_166,AN10B039,proprioceptive,CNS_02
720575941680166333,20.21333791713298,-6.949165713730712,720575941680166333,76212442924869126,"121343, 92500, 2539",right,neck_connective,ascending,05B,NA,NA,AN05B040,AN_GNG_152,AN05B040,tactile,CNS_02
720575941680392381,7.52390005092204,-15.0046838640603,720575941680392381,76425542223714255,"128475, 152249, 3088",left,neck_connective,ascending,08B,NA,NA,AN08B059,AN_GNG_166,AN08B059,reproduction,CNS_02
720575941680648893,-1.8039699604076098,-27.632133853379145,720575941680648893,75930968082532930,"113819, 92500, 2838",right,neck_connective,descending,MX12,NA,NA,DNge019,DNge019,DNg12,grooming,CNS_02
720575941681019325,27.3795061300236,-6.014958274308102,720575941681019325,76142074247935589,"119087, 92500, 2580",left,neck_connective,ascending,09B,NA,NA,AN09B040,AN_GNG_193,AN09B040,tactile,CNS_02
720575941681023421,-0.1506205310386369,2.8816863179770533,720575941681023421,76071705504043334,"117723, 92500, 2677",left,neck_connective,ascending,14A,NA,NA,AN14A003,AN_GNG_46,AN14A003,landing,CNS_02
720575941681032125,-24.065600376324046,-4.302066457215207,720575941681032125,76001336827347852,"115252, 92500, 3062",right,neck_connective,descending,LB12,NA,NA,DNg02_d,DNg02_d,DNg02,flight power,CNS_04
720575941681075389,22.548838634296064,-9.048184764328854,720575941681075389,76001336759547661,"115403, 92500, 2569",right,neck_connective,ascending,TBD,NA,NA,ANXXX026,AN_GNG_23,ANXXX026,tactile,CNS_02
720575941681384637,-25.59020517368733,-1.9445661425026832,720575941681384637,76282811804056449,"124058, 92500, 3063",left,neck_connective,descending,LB12,NA,NA,DNg92_b,DNg92_b,DNg92,flight steering 1,CNS_04
720575941684845551,-17.2057981302303,19.062102901991935,720575941684845551,76282811736640397,"123395, 92500, 2759",right,neck_connective,ascending,07B,NA,NA,AN07B046,SA_DMT_ADMN_11,AN07B046,flight steering 2,CNS_01
720575941538218216,-20.855292301372877,8.146709072646244,720575941538218216,76282811736660064,"123001, 92500, 2767",left,neck_connective,descending,MX3,NA,NA,DNg08_a,DNg08_a,DNg08,flight steering 1,CNS_01
720575941685691375,-0.32537099321305263,-6.724091422501463,720575941685691375,76001336759781306,"114948, 92500, 2651",left,neck_connective,ascending,19B,NA,NA,AN19B004,auto:AN_4_None,AN19B004,walking,CNS_02
720575941685783158,-19.28618524570882,21.589017498549563,720575941685783158,76001336827278771,"116628, 92500, 3037",left,neck_connective,ascending,19B,NA,NA,AN19B101,SA_DMT_DMetaN_6,AN19B101,flight steering 2,CNS_01
720575941686310895,-4.25784824390828,-24.88428152793969,720575941686310895,76353180547915833,"126361, 92500, 2940",left,neck_connective,descending,MX12,NA,NA,DNge024,DNge024,DNfl031,grooming,CNS_02
720575941687006988,-28.858492832378733,19.793285000380617,720575941687006988,76282811803873710,"124083, 92500, 2992",right,neck_connective,descending,LB6,NA,NA,DNge071,DNge071,DNg10,flight steering 2,CNS_01
