root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941614926293,-6.239933325258377,-1.7760199019788974,720575941614926293,76215467186382639,"122516,184090,4760",right,ventral_nerve_cord,efferent,motor,TBD,NA,right_dorsal_metathoracic_nerve,ENXXX226,NA,ENXXX226,EFF_04,thoracic-abdominal
720575941617728383,-7.793405367342117,-0.5180974910139313,720575941617728383,75788374430146270,"109267, 37653, 203",right,central_brain,efferent,motor,putative_primary,pharynx_motor,right_pharyngeal_nerve_or_accessory_pharyngeal_nerve,CB0914,CB0914,NA,EFF_07,ingestion-digestion
720575941617887103,0.9194750056589821,5.0108131458879255,720575941617887103,75302528937712181,"94382,239514,4672",right,ventral_nerve_cord,efferent,motor,15B,leg_motor,right_metathoracic_leg_nerve,tibia_flexor,NA,Ti flexor MN,EFF_12,middle-hind leg
720575941618260607,6.684654878171797,-0.6736117312788239,720575941618260607,75935573227132682,"113653,230840,6457",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_metathoracic_leg_nerve,sternal_posterior_rotator_dorsomedial_ribbon,NA,auto:IN08A002,EFF_10,middle-hind leg
720575941619965567,-5.4967063202534945,-2.054405064332413,720575941619965567,75935641409921820,"113808, 232416, 4478",left,ventral_nerve_cord,efferent,visceral_circulatory,00B,NA,NA,EN00B007,NA,EN00B007,EFF_04,feeding-endocrine
720575941621725948,7.581039594205736,2.7847476294160614,720575941621725948,77058448403526241,"146457, 139483, 2514",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_prothoracic_leg_nerve,tarsus_depressor_dipalpha_ventralU,NA,Ta depressor MN,EFF_11,front leg
720575941622252796,6.6369368300760945,-0.593881220567154,720575941622252796,76357579466636825,"125649,223601,6185",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_first_abdominal_nerve,tergotrochanter_extensor_MetaAN,NA,auto:IN03A004,EFF_10,middle-hind leg
720575941623015788,-5.059371305910233,-1.9898460814832917,720575941623015788,76707498170134156,"137153, 166522, 2990",left,ventral_nerve_cord,efferent,visceral_circulatory,NA,NA,NA,VUM,NA,auto:EA00B022,EFF_04,feeding-endocrine
720575941623130108,6.6237136588419645,0.20357420946366878,720575941623130108,77270586099154542,"151840, 171104, 5111",left,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,left_mesothoracic_leg_nerve,trochanter_flexor_MesoAN,NA,Tr flexor MN,EFF_10,middle-hind leg
720575941623147978,3.461982892545579,3.928790717375352,720575941623147978,75722197842362184,"108206, 162526, 1061",right,ventral_nerve_cord,efferent,motor,TBD,leg_motor,right_prothoracic_leg_nerve,accessory_trochanter_flexor,NA,Acc. tr flexor MN,EFF_13,front leg
720575941623183612,-2.4814134373341816,-2.5169719169019933,720575941623183612,75583866945275351,"103429, 235130, 6492",left,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad11,NA,MNad11,EFF_01,abdomen motor 1
720575941623218172,3.3164083228434293,4.065670876753401,720575941623218172,76143654661805917,"120719, 139953, 2091",right,ventral_nerve_cord,efferent,motor,15B,leg_motor,right_prothoracic_leg_nerve,tibia_flexor_Fast,NA,Ti flexor MN,EFF_13,front leg
720575941623285450,-7.429372145143632,2.0755656948209533,720575941623285450,75436874440790750,"99462, 47767, 688",right,central_brain,efferent,motor,putative_primary,proboscis_motor,right_pharyngeal_nerve_or_accessory_pharyngeal_nerve,CB0701,CB0701,NA,EFF_05,proboscis-antenna
720575941623403116,7.210128949674485,0.22721019293077085,720575941623403116,76989316945205636,"143688,176307,3784",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,NA,tarsus_depressor_B,NA,MNml78,EFF_10,middle-hind leg
720575941623743434,-7.502168013063552,2.03675940538652,720575941623743434,76984849508066615,"143364, 45033, 1076",left,central_brain,efferent,motor,putative_primary,proboscis_motor,left_pharyngeal_nerve_or_accessory_pharyngeal_nerve,CB0715,CB0715,NA,EFF_05,proboscis-antenna
720575941623920586,0.3771102891291358,5.307276158583237,720575941623920586,75231747877258137,"94070, 227216, 4858",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_metathoracic_leg_nerve,sternotrochanter_extensor_dorsomedial_ribbon,NA,NA,EFF_12,middle-hind leg
