FBbt_id	cell_type	synonym	creation_date	asserted_parents	notes
FBbt:20004168	CB0393		2024-02-05T12:00:00Z		
FBbt:20004169	CB0394		2024-02-05T12:00:00Z		
FBbt:20004170	CB0396		2024-02-05T12:00:00Z		
FBbt:20004171	CB0397		2024-02-05T12:00:00Z		
FBbt:20004172	CB0398		2024-02-05T12:00:00Z		
FBbt:20004173	CB0399		2024-02-05T12:00:00Z		
FBbt:20004174	CB0400		2024-02-05T12:00:00Z		
FBbt:20004175	CB0402		2024-02-05T12:00:00Z		
FBbt:20004176	CB0404		2024-02-05T12:00:00Z		
FBbt:20004177	CB0405		2024-02-05T12:00:00Z		
FBbt:20004178	CB0406		2024-02-05T12:00:00Z		
FBbt:20004179	CB0407		2024-02-05T12:00:00Z		
FBbt:20004180	CB0408		2024-02-05T12:00:00Z		
FBbt:20004181	CB0409		2024-02-05T12:00:00Z		
FBbt:20004182	CB0410		2024-02-05T12:00:00Z		
FBbt:20004183	CB0413		2024-02-05T12:00:00Z		
FBbt:20004184	CB0414		2024-02-05T12:00:00Z		
FBbt:20004185	CB0415		2024-02-05T12:00:00Z		
FBbt:20004186	CB0416		2024-02-05T12:00:00Z		
FBbt:20004187	CB0417		2024-02-05T12:00:00Z		
FBbt:20004188	CB0418		2024-02-05T12:00:00Z		
FBbt:20004189	CB0419		2024-02-05T12:00:00Z		
FBbt:20004190	CB0420		2024-02-05T12:00:00Z		
FBbt:20004191	CB0421		2024-02-05T12:00:00Z		
FBbt:20004192	CB0422		2024-02-05T12:00:00Z		
FBbt:20004193	CB0423		2024-02-05T12:00:00Z		
FBbt:20004194	CB0424		2024-02-05T12:00:00Z		
FBbt:20004195	CB0426		2024-02-05T12:00:00Z		
FBbt:20004196	CB0429		2024-02-05T12:00:00Z		
FBbt:20004197	CB0430		2024-02-05T12:00:00Z		
FBbt:20004198	CB0431		2024-02-05T12:00:00Z		
FBbt:20004199	CB0432		2024-02-05T12:00:00Z		
FBbt:20004200	CB0433		2024-02-05T12:00:00Z		
FBbt:20004201	CB0434		2024-02-05T12:00:00Z		
FBbt:20004202	CB0435		2024-02-05T12:00:00Z		
FBbt:20004203	CB0436		2024-02-05T12:00:00Z		
FBbt:20004204	CB0437		2024-02-05T12:00:00Z		
FBbt:20004205	CB0438		2024-02-05T12:00:00Z		
FBbt:20004206	CB0440		2024-02-05T12:00:00Z		
