male-cns_region	FBbt_id	FBbt_name	notes
AL-VP1m(L)	FBbt:00049641	antennal lobe glomerulus VP1m	
AL-VP1m(R)	FBbt:00049641	antennal lobe glomerulus VP1m	
AL-VP2(L)	FBbt:00003928	antennal lobe glomerulus VP2	
AL-VP2(R)	FBbt:00003928	antennal lobe glomerulus VP2	
AL-VP3(L)	FBbt:00003929	antennal lobe glomerulus VP3	
AL-VP3(R)	FBbt:00003929	antennal lobe glomerulus VP3	
AL-VP4(L)	FBbt:00110865	antennal lobe glomerulus VP4	
AL-VP4(R)	FBbt:00110865	antennal lobe glomerulus VP4	
AL-VP5(L)	FBbt:00047223	antennal lobe glomerulus VP5	
AL-VP5(R)	FBbt:00047223	antennal lobe glomerulus VP5	
AL-unspecified(L)			
AL-unspecified(R)			
AME(L)	FBbt:00045003	accessory medulla	
AME(R)	FBbt:00045003	accessory medulla	
AMMC(L)	FBbt:00003982	antennal mechanosensory and motor center	
AMMC(R)	FBbt:00003982	antennal mechanosensory and motor center	
ANm	FBbt:00110173	adult abdominal neuromere	
AOTU(L)	FBbt:00007059	anterior optic tubercle	
AOTU(R)	FBbt:00007059	anterior optic tubercle	
ATL(L)	FBbt:00045039	antler	
ATL(R)	FBbt:00045039	antler	
AVLP(L)	FBbt:00040043	anterior ventrolateral protocerebrum	
AVLP(R)	FBbt:00040043	anterior ventrolateral protocerebrum	
AbN1(L)	FBbt:00004105	adult first abdominal nerve	
AbN1(R)	FBbt:00004105	adult first abdominal nerve	
AbN2(L)	FBbt:00004106	adult second abdominal nerve	
AbN2(R)	FBbt:00004106	adult second abdominal nerve	
AbN3(L)	FBbt:00004107	adult third abdominal nerve	
AbN3(R)	FBbt:00004107	adult third abdominal nerve	
AbN4(L)	FBbt:00004108	adult fourth abdominal nerve	
AbN4(R)	FBbt:00004108	adult fourth abdominal nerve	
AbNT(L)	FBbt:00004099	adult abdominal nerve trunk	
AbNT(R)	FBbt:00004099	adult abdominal nerve trunk	
BU(L)	FBbt:00003682	bulb	
BU(R)	FBbt:00003682	bulb	
CA(L)	FBbt:00003685	mushroom body calyx	
CA(R)	FBbt:00003685	mushroom body calyx	
CAN(L)	FBbt:00045051	cantle	
CAN(R)	FBbt:00045051	cantle	
CRE(-ROB)(-RUB)(L)	FBbt:00045037	adult crepine	
CRE(-ROB)(-RUB)(R)	FBbt:00045037	adult crepine	
CRE(L)	FBbt:00045037	adult crepine	
CRE(R)	FBbt:00045037	adult crepine	
CRN			
