?cls	?xref
<http://purl.obolibrary.org/obo/FBbt_20011019>	"VFB:FBbt_20011019"
<http://purl.obolibrary.org/obo/FBbt_20011266>	"VFB:FBbt_20011266"
<http://purl.obolibrary.org/obo/FBbt_20008254>	"VFB:FBbt_20008254"
<http://purl.obolibrary.org/obo/FBbt_20007689>	"VFB:FBbt_20007689"
<http://purl.obolibrary.org/obo/FBbt_20008811>	"VFB:FBbt_20008811"
<http://purl.obolibrary.org/obo/FBbt_20009316>	"VFB:FBbt_20009316"
<http://purl.obolibrary.org/obo/FBbt_20009842>	"VFB:FBbt_20009842"
<http://purl.obolibrary.org/obo/FBbt_20010487>	"VFB:FBbt_20010487"
<http://purl.obolibrary.org/obo/FBbt_20011129>	"VFB:FBbt_20011129"
<http://purl.obolibrary.org/obo/FBbt_20009370>	"VFB:FBbt_20009370"
<http://purl.obolibrary.org/obo/FBbt_20009426>	"VFB:FBbt_20009426"
<http://purl.obolibrary.org/obo/FBbt_20009113>	"VFB:FBbt_20009113"
<http://purl.obolibrary.org/obo/FBbt_20008346>	"VFB:FBbt_20008346"
<http://purl.obolibrary.org/obo/FBbt_20010392>	"VFB:FBbt_20010392"
<http://purl.obolibrary.org/obo/FBbt_20009579>	"VFB:FBbt_20009579"
<http://purl.obolibrary.org/obo/FBbt_20008819>	"VFB:FBbt_20008819"
<http://purl.obolibrary.org/obo/FBbt_20009480>	"VFB:FBbt_20009480"
<http://purl.obolibrary.org/obo/FBbt_20010127>	"VFB:FBbt_20010127"
<http://purl.obolibrary.org/obo/FBbt_20009223>	"VFB:FBbt_20009223"
<http://purl.obolibrary.org/obo/FBbt_20008456>	"VFB:FBbt_20008456"
<http://purl.obolibrary.org/obo/FBbt_20009689>	"VFB:FBbt_20009689"
<http://purl.obolibrary.org/obo/FBbt_20008971>	"VFB:FBbt_20008971"
<http://purl.obolibrary.org/obo/FBbt_20007803>	"VFB:FBbt_20007803"
<http://purl.obolibrary.org/obo/FBbt_20010237>	"VFB:FBbt_20010237"
<http://purl.obolibrary.org/obo/FBbt_20007817>	"VFB:FBbt_20007817"
<http://purl.obolibrary.org/obo/FBbt_20010957>	"VFB:FBbt_20010957"
<http://purl.obolibrary.org/obo/FBbt_20010960>	"VFB:FBbt_20010960"
<http://purl.obolibrary.org/obo/FBbt_20008521>	"VFB:FBbt_20008521"
<http://purl.obolibrary.org/obo/FBbt_20008704>	"VFB:FBbt_20008704"
<http://purl.obolibrary.org/obo/FBbt_20007913>	"VFB:FBbt_20007913"
<http://purl.obolibrary.org/obo/FBbt_20009027>	"VFB:FBbt_20009027"
<http://purl.obolibrary.org/obo/FBbt_20007927>	"VFB:FBbt_20007927"
<http://purl.obolibrary.org/obo/FBbt_20010034>	"VFB:FBbt_20010034"
