defined_class	defined_class_label	neuron_type	neuron_type_label	Landgraf_name	Hoang_name	Doe_name	neuromere	neuromere_label	neuromere_short	alt_segment_long	alt_segment_short	Ib_muscle	Ib_muscle_label	Is_muscle	Is_muscle_label	II_muscle	II_muscle_label	III_muscle	III_muscle_label	nerve	nerve_label
FBbt:00002208	larval dorsal motor neuron of abdominal 1 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111033	larval abdominal 1 neuromere	A1					FBbt:00000640|FBbt:00000641|FBbt:00000642|FBbt:00000658|FBbt:00000659|FBbt:00000661|FBbt:00000662|FBbt:00000649|FBbt:00000673	muscle cell of abdominal 1 dorsal acute muscle 1|muscle cell of abdominal 1 dorsal acute muscle 2|muscle cell of abdominal 1 dorsal acute muscle 3|muscle cell of abdominal 1 dorsal oblique muscle 1|muscle cell of abdominal 1 dorsal oblique muscle 2|muscle cell of abdominal 1 dorsal oblique muscle 4|muscle cell of abdominal 1 dorsal oblique muscle 5|muscle cell of abdominal 1 lateral longitudinal muscle 1|muscle cell of abdominal 1 dorsal transverse muscle 1						
FBbt:00002209	larval dorsal motor neuron of abdominal 2 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111034	larval abdominal 2 neuromere	A2					FBbt:00000685|FBbt:00000686|FBbt:00000687|FBbt:00000694|FBbt:00000695|FBbt:00000697|FBbt:00000698|FBbt:00000710|FBbt:00000719	muscle cell of abdominal 2 dorsal acute muscle 1|muscle cell of abdominal 2 dorsal acute muscle 2|muscle cell of abdominal 2 dorsal acute muscle 3|muscle cell of abdominal 2 dorsal oblique muscle 1|muscle cell of abdominal 2 dorsal oblique muscle 2|muscle cell of abdominal 2 dorsal oblique muscle 4|muscle cell of abdominal 2 dorsal oblique muscle 5|muscle cell of abdominal 2 lateral longitudinal muscle 1|muscle cell of abdominal 2 dorsal transverse muscle 1						
FBbt:00002210	larval dorsal motor neuron of abdominal 3 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111035	larval abdominal 3 neuromere	A3					FBbt:00000730|FBbt:00000731|FBbt:00000732|FBbt:00000739|FBbt:00000740|FBbt:00000742|FBbt:00000743|FBbt:00000755|FBbt:00000764	muscle cell of abdominal 3 dorsal acute muscle 1|muscle cell of abdominal 3 dorsal acute muscle 2|muscle cell of abdominal 3 dorsal acute muscle 3|muscle cell of abdominal 3 dorsal oblique muscle 1|muscle cell of abdominal 3 dorsal oblique muscle 2|muscle cell of abdominal 3 dorsal oblique muscle 4|muscle cell of abdominal 3 dorsal oblique muscle 5|muscle cell of abdominal 3 lateral longitudinal muscle 1|muscle cell of abdominal 3 dorsal transverse muscle 1						
FBbt:00002211	larval dorsal motor neuron of abdominal 4 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111036	larval abdominal 4 neuromere	A4					FBbt:00000775|FBbt:00000776|FBbt:00000777|FBbt:00000784|FBbt:00000785|FBbt:00000787|FBbt:00000788|FBbt:00000800|FBbt:00000809	muscle cell of abdominal 4 dorsal acute muscle 1|muscle cell of abdominal 4 dorsal acute muscle 2|muscle cell of abdominal 4 dorsal acute muscle 3|muscle cell of abdominal 4 dorsal oblique muscle 1|muscle cell of abdominal 4 dorsal oblique muscle 2|muscle cell of abdominal 4 dorsal oblique muscle 4|muscle cell of abdominal 4 dorsal oblique muscle 5|muscle cell of abdominal 4 lateral longitudinal muscle 1|muscle cell of abdominal 4 dorsal transverse muscle 1						
FBbt:00002212	larval dorsal motor neuron of abdominal 5 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111037	larval abdominal 5 neuromere	A5					FBbt:00000820|FBbt:00000821|FBbt:00000822|FBbt:00000829|FBbt:00000830|FBbt:00000832|FBbt:00000833|FBbt:00000845|FBbt:00000854	muscle cell of abdominal 5 dorsal acute muscle 1|muscle cell of abdominal 5 dorsal acute muscle 2|muscle cell of abdominal 5 dorsal acute muscle 3|muscle cell of abdominal 5 dorsal oblique muscle 1|muscle cell of abdominal 5 dorsal oblique muscle 2|muscle cell of abdominal 5 dorsal oblique muscle 4|muscle cell of abdominal 5 dorsal oblique muscle 5|muscle cell of abdominal 5 lateral longitudinal muscle 1|muscle cell of abdominal 5 dorsal transverse muscle 1						
FBbt:00002213	larval dorsal motor neuron of abdominal 6 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111038	larval abdominal 6 neuromere	A6					FBbt:00000865|FBbt:00000866|FBbt:00000867|FBbt:00000874|FBbt:00000875|FBbt:00000877|FBbt:00000878|FBbt:00000890|FBbt:00000899	muscle cell of abdominal 6 dorsal acute muscle 1|muscle cell of abdominal 6 dorsal acute muscle 2|muscle cell of abdominal 6 dorsal acute muscle 3|muscle cell of abdominal 6 dorsal oblique muscle 1|muscle cell of abdominal 6 dorsal oblique muscle 2|muscle cell of abdominal 6 dorsal oblique muscle 4|muscle cell of abdominal 6 dorsal oblique muscle 5|muscle cell of abdominal 6 lateral longitudinal muscle 1|muscle cell of abdominal 6 dorsal transverse muscle 1						
FBbt:00002214	larval dorsal motor neuron of abdominal 7 neuromere	FBbt:00001453	RP2 motor neuron	RP2	MNISN-Is		FBbt:00111039	larval abdominal 7 neuromere	A7					FBbt:00000910|FBbt:00000911|FBbt:00000912|FBbt:00000919|FBbt:00000920|FBbt:00000922|FBbt:00000923|FBbt:00000935|FBbt:00000944	muscle cell of abdominal 7 dorsal acute muscle 1|muscle cell of abdominal 7 dorsal acute muscle 2|muscle cell of abdominal 7 dorsal acute muscle 3|muscle cell of abdominal 7 dorsal oblique muscle 1|muscle cell of abdominal 7 dorsal oblique muscle 2|muscle cell of abdominal 7 dorsal oblique muscle 4|muscle cell of abdominal 7 dorsal oblique muscle 5|muscle cell of abdominal 7 lateral longitudinal muscle 1|muscle cell of abdominal 7 dorsal transverse muscle 1						
FBbt:00002240	larval dorsal VUM motor neuron of abdominal 1 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111033	larval abdominal 1 neuromere	A1							FBbt:00000640|FBbt:00000641|FBbt:00000642|FBbt:00000658|FBbt:00000659|FBbt:00000660|FBbt:00000661|FBbt:00000662|FBbt:00000649|FBbt:00000673	muscle cell of abdominal 1 dorsal acute muscle 1|muscle cell of abdominal 1 dorsal acute muscle 2|muscle cell of abdominal 1 dorsal acute muscle 3|muscle cell of abdominal 1 dorsal oblique muscle 1|muscle cell of abdominal 1 dorsal oblique muscle 2|muscle cell of abdominal 1 dorsal oblique muscle 3|muscle cell of abdominal 1 dorsal oblique muscle 4|muscle cell of abdominal 1 dorsal oblique muscle 5|muscle cell of abdominal 1 lateral longitudinal muscle 1|muscle cell of abdominal 1 dorsal transverse muscle 1				
FBbt:00002241	larval dorsal VUM motor neuron of abdominal 2 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111034	larval abdominal 2 neuromere	A2							FBbt:00000687|FBbt:00000719|FBbt:00000686|FBbt:00000685|FBbt:00000694|FBbt:00000697|FBbt:00000710|FBbt:00000695|FBbt:00000698|FBbt:00000696	muscle cell of abdominal 2 dorsal acute muscle 3|muscle cell of abdominal 2 dorsal transverse muscle 1|muscle cell of abdominal 2 dorsal acute muscle 2|muscle cell of abdominal 2 dorsal acute muscle 1|muscle cell of abdominal 2 dorsal oblique muscle 1|muscle cell of abdominal 2 dorsal oblique muscle 4|muscle cell of abdominal 2 lateral longitudinal muscle 1|muscle cell of abdominal 2 dorsal oblique muscle 2|muscle cell of abdominal 2 dorsal oblique muscle 5|muscle cell of abdominal 2 dorsal oblique muscle 3				
FBbt:00002242	larval dorsal VUM motor neuron of abdominal 3 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111035	larval abdominal 3 neuromere	A3							FBbt:00000743|FBbt:00000740|FBbt:00000739|FBbt:00000732|FBbt:00000764|FBbt:00000755|FBbt:00000742|FBbt:00000731|FBbt:00000730|FBbt:00000741	muscle cell of abdominal 3 dorsal oblique muscle 5|muscle cell of abdominal 3 dorsal oblique muscle 2|muscle cell of abdominal 3 dorsal oblique muscle 1|muscle cell of abdominal 3 dorsal acute muscle 3|muscle cell of abdominal 3 dorsal transverse muscle 1|muscle cell of abdominal 3 lateral longitudinal muscle 1|muscle cell of abdominal 3 dorsal oblique muscle 4|muscle cell of abdominal 3 dorsal acute muscle 2|muscle cell of abdominal 3 dorsal acute muscle 1|muscle cell of abdominal 3 dorsal oblique muscle 3				
FBbt:00002243	larval dorsal VUM motor neuron of abdominal 4 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111036	larval abdominal 4 neuromere	A4							FBbt:00000809|FBbt:00000786|FBbt:00000800|FBbt:00000787|FBbt:00000788|FBbt:00000776|FBbt:00000785|FBbt:00000777|FBbt:00000775|FBbt:00000784	muscle cell of abdominal 4 dorsal transverse muscle 1|muscle cell of abdominal 4 dorsal oblique muscle 3|muscle cell of abdominal 4 lateral longitudinal muscle 1|muscle cell of abdominal 4 dorsal oblique muscle 4|muscle cell of abdominal 4 dorsal oblique muscle 5|muscle cell of abdominal 4 dorsal acute muscle 2|muscle cell of abdominal 4 dorsal oblique muscle 2|muscle cell of abdominal 4 dorsal acute muscle 3|muscle cell of abdominal 4 dorsal acute muscle 1|muscle cell of abdominal 4 dorsal oblique muscle 1				
FBbt:00002244	larval dorsal VUM motor neuron of abdominal 5 neuromere	FBbt:00110295	dorsal VUM motor neuron	dorsal VUM	A1-7 MNISN-II		FBbt:00111037	larval abdominal 5 neuromere	A5							FBbt:00000833|FBbt:00000822|FBbt:00000854|FBbt:00000832|FBbt:00000820|FBbt:00000831|FBbt:00000830|FBbt:00000845|FBbt:00000821|FBbt:00000829	muscle cell of abdominal 5 dorsal oblique muscle 5|muscle cell of abdominal 5 dorsal acute muscle 3|muscle cell of abdominal 5 dorsal transverse muscle 1|muscle cell of abdominal 5 dorsal oblique muscle 4|muscle cell of abdominal 5 dorsal acute muscle 1|muscle cell of abdominal 5 dorsal oblique muscle 3|muscle cell of abdominal 5 dorsal oblique muscle 2|muscle cell of abdominal 5 lateral longitudinal muscle 1|muscle cell of abdominal 5 dorsal acute muscle 2|muscle cell of abdominal 5 dorsal oblique muscle 1				
