symbol	FBbt_id	reference
AN07B097	FBbt:20007860	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B100	FBbt:20007861	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B101	FBbt:20007862	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B005	FBbt:20007863	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B007	FBbt:20007864	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B009	FBbt:20007865	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B010	FBbt:20007866	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B012	FBbt:20007867	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B013	FBbt:20007868	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B014	FBbt:20007869	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B015	FBbt:20007870	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B016	FBbt:20007871	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B018	FBbt:20007872	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B020	FBbt:20007873	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B022	FBbt:20007874	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B023	FBbt:20007875	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B024	FBbt:20007876	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B025	FBbt:20007877	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B026	FBbt:20007878	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B027	FBbt:20007879	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B028	FBbt:20007880	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B032	FBbt:20007881	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B034	FBbt:20007882	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B035	FBbt:20007883	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B041	FBbt:20007884	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B047	FBbt:20007885	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B048	FBbt:20007886	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B049	FBbt:20007887	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B050	FBbt:20007888	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B053	FBbt:20007889	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B057	FBbt:20007890	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B061	FBbt:20007891	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B066	FBbt:20007892	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B071	FBbt:20007893	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B074	FBbt:20007894	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B079	FBbt:20007895	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B081	FBbt:20007896	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B084	FBbt:20007897	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B086	FBbt:20007898	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B089	FBbt:20007899	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B094	FBbt:20007900	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B095	FBbt:20007901	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B096	FBbt:20007902	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B097	FBbt:20007903	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B098	FBbt:20007904	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B099	FBbt:20007905	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B100	FBbt:20007906	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B101	FBbt:20007907	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B102	FBbt:20007908	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B103	FBbt:20007909	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B106	FBbt:20007910	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B107	FBbt:20007911	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B109	FBbt:20007912	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B110	FBbt:20007913	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B111	FBbt:20007914	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN08B112	FBbt:20007915	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
