accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
39386	SLP240_a		cb_intrinsic				SLP240_a	SLP240_a			parent_term	FBbt:20002634	adult superior lateral protocerebrum neuron 240	
15549	CL071_b		cb_intrinsic				CL071	CL071b			parent_term	FBbt:20000776	adult clamp neuron 071	
22166	lLN2P_c	ALLN	cb_intrinsic				lLN2P_c	lLN2P_c		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
205526	SIP003_a		cb_intrinsic				SIP003_a	SIP003_a			parent_term	FBbt:20002307	adult superior intermediate protocerebrum neuron 003	
11294	lLN2T_e	ALLN	cb_intrinsic				lLN2T_e	lLN2T_e		DC	parent_term	FBbt:00049816	adult antennal lobe local neuron lLN2T	
514180	ER3p_b	CX	cb_intrinsic				ER3p_b	ER3p			parent_term	FBbt:00047040	adult ellipsoid body ring neuron R3p	
18286	CL121_a		cb_intrinsic		fru_low	Cachero 2010: aDT-g; Yu 2010: aDT5	CL121	CL121_a			parent_term	FBbt:20000826	adult clamp neuron 121	
86368	SMP016_b		cb_intrinsic				SMP016_b	SMP016_b			parent_term	FBbt:20002878	adult superior medial protocerebrum neuron 016	
31011	PVLP008_c		cb_intrinsic				PVLP008_c	CB4051			parent_term	FBbt:20002066	adult posterior ventrolateral protocerebrum neuron 008	
529708	PS048_b		cb_intrinsic				PS048	PS048a			parent_term	FBbt:20001803	adult posterior slope neuron 048	
17275	PS083_c		cb_intrinsic		fru_low	Cachero 2010: aSP-i; Yu 2010: aSP11	PS083	PS083_c			parent_term	FBbt:20001838	adult posterior slope neuron 083	
36928	ER3a_b	CX	cb_intrinsic				ER3a_b	ER3a			parent_term	FBbt:00047039	adult ellipsoid body ring neuron R3a	
183205	LHAV9a1_b		cb_intrinsic				LHAV9a1_b	LHAV9a1_b			parent_term	FBbt:00051752	adult lateral horn AV9a1 neuron	
28525	lLN2P_b	ALLN	cb_intrinsic				lLN2P_b	lLN2P_b		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
18574	CL123_d		cb_intrinsic		fru_low	Cachero 2010: aDT-d	CL123	CL123,CRE061			parent_term	FBbt:20000828	adult clamp neuron 123	
