systematicType	type	FBbt_id	FBbt_name	notes	mapping_ref	specificity
AN05B040	AN05B040	FBbt:20007739	adult AN05B040 neuron			
AN05B044	AN05B044	FBbt:20007740	adult AN05B044 neuron			
AN05B045	AN05B045	FBbt:20007741	adult AN05B045 neuron			
AN05B046	AN05B046	FBbt:20007742	adult AN05B046 neuron			
AN05B047	AN05B047	FBbt:20007743	adult AN05B047 neuron			
AN05B048	AN05B048	FBbt:20007744	adult AN05B048 neuron			
AN05B049	AN05B049	FBbt:20007745	adult AN05B049 neuron			
AN05B050	AN05B050	FBbt:20007746	adult AN05B050 neuron			
AN05B052	AN05B052	FBbt:20007747	adult AN05B052 neuron			
AN05B053	AN05B053	FBbt:20007748	adult AN05B053 neuron			
AN05B054	AN05B054	FBbt:20007749	adult AN05B054 neuron			
AN05B056	AN05B056	FBbt:20007750	adult AN05B056 neuron			
AN05B058	AN05B058	FBbt:20007751	adult AN05B058 neuron			
AN05B059	AN05B059	FBbt:20007752	adult AN05B059 neuron			
AN05B060	AN05B060	FBbt:20007753	adult AN05B060 neuron			
AN05B062	AN05B062	FBbt:20007754	adult AN05B062 neuron			
AN05B063	AN05B063	FBbt:20007755	adult AN05B063 neuron			
AN05B067	AN05B067	FBbt:20007756	adult AN05B067 neuron			
AN05B068	AN05B068	FBbt:20007757	adult AN05B068 neuron			
AN05B069	AN05B069	FBbt:20007758	adult AN05B069 neuron			
AN05B071	AN05B071	FBbt:20007759	adult AN05B071 neuron			
AN05B076	AN05B076	FBbt:20007760	adult AN05B076 neuron			
AN05B078	AN05B078	FBbt:20007761	adult AN05B078 neuron			
AN05B081	AN05B081	FBbt:20007762	adult AN05B081 neuron			
AN05B083	AN05B083	FBbt:20007763	adult AN05B083 neuron			
AN05B094	AN05B094	FBbt:20007764	adult AN05B094 neuron			
AN05B095	AN05B095	FBbt:20007765	adult AN05B095 neuron			
AN05B096	AN05B096	FBbt:20007766	adult AN05B096 neuron			
AN05B097	AN05B097	FBbt:20007767	adult AN05B097 neuron			
AN05B098	AN05B098	FBbt:20007768	adult AN05B098 neuron			
AN05B099	AN05B099	FBbt:20007769	adult AN05B099 neuron			
AN05B100	AN05B100	FBbt:20007770	adult AN05B100 neuron			
AN05B101	AN05B101	FBbt:20007771	adult AN05B101 neuron			
AN05B102	AN05B102	FBbt:20007772	adult AN05B102 neuron			
AN05B103	AN05B103	FBbt:20007773	adult AN05B103 neuron			
AN05B104	AN05B104	FBbt:20007774	adult AN05B104 neuron			
AN05B105	AN05B105	FBbt:20007775	adult AN05B105 neuron			
AN05B106	AN05B106	FBbt:20007776	adult AN05B106 neuron			
AN06A010	AN06A010	FBbt:20007777	adult AN06A010 neuron			
AN06A015	AN06A015	FBbt:20007778	adult AN06A015 neuron			
AN06A016	AN06A016	FBbt:20007779	adult AN06A016 neuron			
AN06A017	AN06A017	FBbt:20007780	adult AN06A017 neuron			
AN06A018	AN06A018	FBbt:20007781	adult AN06A018 neuron			
AN06A026	AN06A026	FBbt:20007782	adult AN06A026 neuron			
AN06A027	AN06A027	FBbt:20007783	adult AN06A027 neuron			
AN06A030	AN06A030	FBbt:20007784	adult AN06A030 neuron			
AN06A041	AN06A041	FBbt:20007785	adult AN06A041 neuron			
AN06A060	AN06A060	FBbt:20007786	adult AN06A060 neuron			
AN06A062	AN06A062	FBbt:20007787	adult AN06A062 neuron			
AN06A080	AN06A080	FBbt:20007788	adult AN06A080 neuron			
AN06A092	AN06A092	FBbt:20007789	adult AN06A092 neuron			
AN06A095	AN06A095	FBbt:20007790	adult AN06A095 neuron			
AN06A112	AN06A112	FBbt:20007791	adult AN06A112 neuron			
AN06B002	AN06B002	FBbt:20007792	adult AN06B002 neuron			
AN06B004	AN06B004	FBbt:20007793	adult AN06B004 neuron			
AN06B005	AN06B005	FBbt:20007794	adult AN06B005 neuron			
AN06B007	AN06B007	FBbt:20007795	adult AN06B007 neuron			
AN06B009	AN06B009	FBbt:20007796	adult AN06B009 neuron			
AN06B011	AN06B011	FBbt:00059240	lateral accessory lobe-posterior slope contralateral ascending neuron			
AN06B012	AN06B012	FBbt:20007798	adult AN06B012 neuron			
AN06B014	AN06B014	FBbt:20007799	adult AN06B014 neuron			
AN06B015	AN06B015	FBbt:20007800	adult AN06B015 neuron			
AN06B023	AN06B023	FBbt:20007801	adult AN06B023 neuron			
