primary_type	specificity	FBbt_id	FBbt_name	references
AN_GNG_VES_4	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_VES_5	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_VES_6	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_VES_7	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_VES_8	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_VES_9	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_WED_1	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_WED_2	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_WED_3	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_1	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_1	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_2	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_3	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_4	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_5	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_6	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_GNG_7	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_LAL_1	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_SPS_1	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_WED_1	general_term	FBbt:00048301	adult ascending neuron	
AN_IPS_WED_2	general_term	FBbt:00048301	adult ascending neuron	
AN_LAL_1	general_term	FBbt:00048301	adult ascending neuron	
AN_LH_AVLP_1	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_1	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_10	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_100	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_101	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_102	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_103	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_104	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_105		FBbt:20004421	adult AN_multi_105 neuron	
AN_multi_106	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_107	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_108	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_109	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_11	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_110	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_111	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_112	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_113	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_114	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_115	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_116	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_117	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_118	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_119	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_12	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_120	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_121	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_122	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_123	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_124	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_125	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_127	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_128	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_13	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_14	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_15	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_16	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_17		FBbt:20001290	adult inferior bridge neuron 113	
AN_multi_18	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_19	general_term	FBbt:00048301	adult ascending neuron	
